"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 16일","20.27","19.94","20.88","19.94","-","2.95%"
"2022년 05월 13일","19.69","21.11","21.25","19.69","-","-13.34%"
"2022년 05월 12일","22.72","21.99","23.06","20.65","-","7.68%"
"2022년 05월 11일","21.10","21.76","22.19","21.02","-","-4.57%"
"2022년 05월 10일","22.11","23.05","24.09","21.85","-","3.37%"
"2022년 05월 09일","21.39","21.27","21.90","21.27","-","2.49%"
"2022년 05월 06일","20.87","21.21","21.23","20.40","-","6.43%"
"2022년 05월 04일","19.61","19.62","19.98","19.43","-","-3.16%"
"2022년 05월 03일","20.25","20.27","20.40","19.47","-","-1.22%"
"2022년 05월 02일","20.50","20.95","21.13","20.45","-","8.35%"
"2022년 04월 29일","18.92","19.99","19.99","18.92","-","-7.48%"
"2022년 04월 28일","20.45","21.52","21.66","20.45","-","-6.96%"
"2022년 04월 27일","21.98","22.87","22.87","21.69","-","10.23%"
"2022년 04월 26일","19.94","20.12","20.16","19.53","-","-5.27%"
"2022년 04월 25일","21.05","20.42","21.45","20.41","-","18.59%"
"2022년 04월 22일","17.75","18.21","18.28","17.66","-","5.84%"
"2022년 04월 21일","16.77","16.79","16.99","16.54","-","-3.29%"
"2022년 04월 20일","17.34","17.79","17.86","17.30","-","-1.98%"
"2022년 04월 19일","17.69","17.91","17.93","17.62","-","-6.30%"
"2022년 04월 18일","18.88","19.11","19.14","18.83","-","6.25%"
"2022년 04월 15일","17.77","18.18","18.34","17.69","-","3.74%"
"2022년 04월 14일","17.13","17.05","17.37","16.95","-","0.65%"
"2022년 04월 13일","17.02","17.82","17.95","17.02","-","-7.85%"
"2022년 04월 12일","18.47","18.02","18.91","17.99","-","5.12%"
"2022년 04월 11일","17.57","17.86","17.91","17.19","-","2.75%"
"2022년 04월 08일","17.10","17.30","17.73","17.10","-","-3.82%"
"2022년 04월 07일","17.78","17.29","18.33","17.27","-","5.90%"
"2022년 04월 06일","16.79","16.73","17.06","16.53","-","5.53%"
"2022년 04월 05일","15.91","16.30","16.52","15.91","-","-3.52%"
"2022년 04월 04일","16.49","17.53","17.54","16.48","-","-3.40%"
"2022년 04월 01일","17.07","17.69","17.69","17.05","-","-0.41%"
"2022년 03월 31일","17.14","17.92","17.95","17.05","-","-4.14%"
"2022년 03월 30일","17.88","17.95","18.21","17.83","-","-4.64%"
"2022년 03월 29일","18.75","18.87","19.26","18.75","-","-4.34%"
"2022년 03월 28일","19.60","20.35","20.40","19.60","-","-0.10%"
"2022년 03월 25일","19.62","19.80","19.93","19.35","-","-0.56%"
"2022년 03월 24일","19.73","20.08","20.41","19.58","-","0.61%"
"2022년 03월 23일","19.61","19.64","20.15","19.50","-","-6.75%"
"2022년 03월 22일","21.03","22.08","22.08","20.93","-","-6.12%"
"2022년 03월 21일","22.40","22.51","22.80","22.22","-","2.14%"
"2022년 03월 18일","21.93","22.58","22.79","21.92","-","-2.75%"
"2022년 03월 17일","22.55","21.44","23.27","21.34","-","-5.01%"
"2022년 03월 16일","23.74","24.95","25.51","23.52","-","-7.88%"
"2022년 03월 15일","25.77","25.15","26.38","24.92","-","4.33%"
"2022년 03월 14일","24.70","24.60","25.22","24.14","-","1.19%"
"2022년 03월 11일","24.41","24.33","25.70","23.76","-","-5.06%"
"2022년 03월 10일","25.71","25.14","26.08","24.64","-","-11.19%"
"2022년 03월 08일","28.95","29.27","29.30","27.92","-","3.99%"
"2022년 03월 07일","27.84","27.42","28.99","27.24","-","13.31%"
"2022년 03월 04일","24.57","23.63","25.70","23.58","-","8.10%"
"2022년 03월 03일","22.73","23.27","23.37","22.65","-","-8.68%"
"2022년 03월 02일","24.89","24.93","25.21","24.51","-","1.97%"
"2022년 02월 28일","24.41","25.34","25.64","24.38","-","2.39%"
"2022년 02월 25일","23.84","25.19","25.22","23.83","-","-12.00%"
"2022년 02월 24일","27.09","25.20","28.09","25.17","-","12.55%"
"2022년 02월 23일","24.07","24.52","24.77","23.81","-","-5.01%"
"2022년 02월 22일","25.34","25.53","26.39","24.85","-","6.52%"
