종목명,업종,기업어음(KIS),기업어음(KR),기업어음(NICE),회사채(KIS),회사채(KR),회사채(NICE)
AJ네트웍스,코스피 서비스업,A3+,A3+,,BBB+,BBB+,
BGF,코스피 금융업,,,,,,A+
BNK금융지주,코스피 금융업,,,,AAA,AAA,AAA
CJ,코스피 금융업,,A1,A1,,AA-,AA-
CJ CGV,코스피 서비스업,A2-,,A2-,A-,,A-
CJ대한통운,코스피 운수창고,A1,A1,A1,AA-,AA-,AA-
CJ씨푸드,코스피 음식료품,,,,,A-,
CJ제일제당,코스피 음식료품,A1,A1,A1,AA,AA,AA
CS홀딩스,코스피 금융업,B,,,,,
DB,코스피 서비스업,,,,BB,BB,B
DB금융투자,코스피 증권,A1,,A1,A+,A+,A+
DB손해보험,코스피 보험,,,,AAA,,
DB하이텍,"코스피 전기,전자",,,,BBB+,,
DGB금융지주,코스피 금융업,,A1,A1,,AAA,AAA
DI동일,코스피 유통업,,,,BBB-,BBB-,
DL,코스피 금융업,,,,AA-,A+,
DL건설,코스피 건설업,A2-,A2-,,A-,A-,
DL이앤씨,코스피 건설업,A1,A1,A1,AA-,AA-,AA-
DRB동일,코스피 화학,,,,BBB+,,BBB+
E1,코스피 유통업,,A1,A1,A+,A+,A+
F&F,"코스피 섬유,의복",A2-,,,,,
F&F홀딩스,코스피 금융업,,,,,BBB,BBB
GKL,코스피 서비스업,,,,,AA,AA
GS,코스피 금융업,A1,,A1,AA,,AA
GS건설,코스피 건설업,A2+,A2+,A2+,A+,A+,A+
GS글로벌,코스피 유통업,,,,A,A,A-
GS리테일,코스피 유통업,A1,A1,A1,AA,AA,AA
HDC,코스피 금융업,,,,A,,A+
HDC현대EP,코스피 화학,,,,A-,A-,A-
HDC현대산업개발,코스피 건설업,A2,A2,A2+,A,A,A+
HD현대,코스피 화학,A2-,,A2,A-,A-,A
HJ중공업,코스피 건설업,,,,BBB-,BBB,BBB-
HMM,코스피 운수창고,,,,BBB,,BBB
HSD엔진,코스피 기계,,B+,B+,,BB+,BB+
IHQ,코스피 서비스업,C,,A3-,,,
JB금융지주,코스피 금융업,,,,AA+,AA+,AA+
JW생명과학,코스피 의약품,,,,,,BBB-
JW중외제약,코스피 의약품,,,,,BBB,BBB
JW홀딩스,코스피 금융업,,,,,BBB-,
KB금융,코스피 금융업,A1,A1,A1,AAA,AAA,AAA
KCC,코스피 화학,A1,A1,A1,AA-,AA-,AA-
KCC글라스,코스피 비금속광물,A1,,A1,,AA-,AA-
KCTC,코스피 운수창고,,,,A-,A-,
KC그린홀딩스,코스피 금융업,,,,BBB,,
KEC,"코스피 전기,전자",,A1,,,,
KG스틸,코스피 철강및금속,,,,,CCC,CCC
KISCO홀딩스,코스피 철강및금속,,,,,BBB,BBB
KR모터스,코스피 운수장비,,,,,B-,B-
KT,코스피 통신업,A1,A1,A1,AAA,AAA,AAA
KT&G,코스피 제조업,,A1,A1,,,
LF,"코스피 섬유,의복",,,,AA-,,AA-
LG,코스피 금융업,,,,AA,AA,
LG디스플레이,"코스피 전기,전자",,,,A+,A+,A+
LG생활건강,코스피 화학,,A1,A1,,,
LG유플러스,코스피 통신업,A1,A1,A1,AA,AA,AA
LG이노텍,"코스피 전기,전자",,,,AA-,AA-,AA-
LG전자,"코스피 전기,전자",,,,AA,AA,AA
LG헬로비전,코스피 서비스업,A1,A1,,AA-,AA-,
LG화학,코스피 화학,,,,AA+,AA+,AA+
LIG넥스원,코스피 기계,A1,,A1,AA-,,AA-
LS,코스피 금융업,,,,A+,A+,A+
LS ELECTRIC,"코스피 전기,전자",A1,A1,,AA-,AA-,
