,종목코드,종목명,PER,동일업종PER,추정PER,PBR,ROE,배당수익률,PER10이하주,PBR1이하주,ROE12이상주,동일업종대비PER하위주,PER대비추정PER하위주,배당수익률2이상주,2346만족,12346만족,123456만족
0,095570,AJ네트웍스,4.16 ,10.83 ,,0.84 ,0.20 ,3.96 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
1,006840,AK홀딩스,,8.54 ,,0.43 ,,1.02 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2,027410,BGF,7.45 ,6.23 ,,0.31 ,0.04 ,2.16 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
3,282330,BGF리테일,21.95 ,6.23 ,17.00 ,4.00 ,0.18 ,1.60 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
4,138930,BNK금융지주,3.18 ,5.29 ,3.00 ,0.27 ,0.08 ,7.25 ,1 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,0 
5,001460,BYC,12.28 ,5.70 ,,0.76 ,0.06 ,0.34 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
6,001040,CJ,10.83 ,7.92 ,8.00 ,0.55 ,0.05 ,2.75 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
7,079160,CJ CGV,,46.81 ,-10.00 ,4.77 ,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
8,000120,CJ대한통운,55.21 ,10.81 ,17.00 ,0.74 ,0.01 ,,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
9,011150,CJ씨푸드,66.15 ,11.99 ,,2.17 ,0.03 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
10,097950,CJ제일제당,10.83 ,11.99 ,9.00 ,1.06 ,0.10 ,1.24 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 
11,000590,CS홀딩스,5.07 ,4.14 ,,0.28 ,0.06 ,0.78 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
12,012030,DB,9.06 ,31.23 ,,0.43 ,0.05 ,,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
13,016610,DB금융투자,2.16 ,3.30 ,,0.27 ,0.12 ,8.38 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
14,005830,DB손해보험,5.21 ,6.72 ,6.00 ,0.58 ,0.11 ,5.47 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
15,000990,DB하이텍,7.69 ,10.30 ,6.00 ,2.58 ,0.34 ,0.61 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
16,139130,DGB금융지주,2.93 ,5.29 ,3.00 ,0.27 ,0.09 ,7.22 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
17,001530,DI동일,15.12 ,5.70 ,,0.85 ,0.06 ,0.79 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
18,000210,DL,1.51 ,8.48 ,4.00 ,0.36 ,0.24 ,3.03 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
19,001880,DL건설,3.15 ,7.37 ,5.00 ,0.58 ,0.18 ,3.16 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
20,375500,DL이앤씨,3.71 ,7.37 ,4.00 ,0.52 ,0.14 ,2.69 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
21,004840,DRB동일,,12.87 ,,0.31 ,,0.51 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
22,155660,DSR,7.09 ,9.58 ,,0.61 ,0.09 ,0.71 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
23,069730,DSR제강,6.19 ,4.12 ,,0.56 ,0.09 ,0.63 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
24,017940,E1,2.60 ,6.35 ,,0.22 ,0.08 ,4.40 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
25,365550,ESR켄달스퀘어리츠,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
26,383220,F&F,15.45 ,5.70 ,13.00 ,9.82 ,0.64 ,0.78 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
27,007700,F&F홀딩스,0.28 ,5.70 ,,0.50 ,1.79 ,0.68 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
28,114090,GKL,,-56.47 ,-31.00 ,2.31 ,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
29,078930,GS,3.01 ,13.02 ,2.00 ,0.42 ,0.14 ,4.34 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
30,006360,GS건설,8.01 ,7.37 ,6.00 ,0.70 ,0.09 ,3.38 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
31,001250,GS글로벌,10.33 ,6.59 ,,0.97 ,0.09 ,,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
32,007070,GS리테일,2.92 ,6.21 ,11.00 ,0.66 ,0.23 ,4.59 ,1 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,0 
33,012630,HDC,3.78 ,7.37 ,,0.16 ,0.04 ,3.49 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
34,039570,HDC랩스,17.91 ,7.37 ,,0.85 ,0.05 ,4.77 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
35,089470,HDC현대EP,14.22 ,12.87 ,,0.44 ,0.03 ,3.06 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
36,294870,HDC현대산업개발,5.17 ,7.37 ,,0.32 ,0.06 ,4.33 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
