,52주베타,거래소코드
0,0.76,138930
1,1.37,990
2,1.48,97230
3,0.63,175330
4,0.76,105560
5,0.69,23150
6,0.97,2360
7,1.85,9160
8,1.06,100840
9,0.81,36530
10,1.35,11810
11,1.51,2710
12,0.85,35250
13,2.95,11420
14,0.94,2100
15,1.53,9450
16,0.51,267290
17,0.52,12320
18,0.65,50
19,1.64,214390
20,1.25,12610
21,1.25,17040
22,0.80,37710
23,1.37,5320
24,2.18,1140
25,0.76,8870
26,1.80,1570
27,2.03,214330
28,1.33,13700
29,0.51,34310
30,2.42,8350
31,1.33,4270
32,0.99,5720
33,3.17,3580
34,1.88,90350
35,1.19,320
36,1.90,6280
37,1.77,5250
38,0.60,4370
39,0.61,72710
40,1.27,23590
41,2.55,145210
42,1.04,19680
43,1.65,6370
44,1.06,8060
45,1.69,490
46,1.53,9190
47,1.30,47040
48,2.03,3090
49,1.30,69620
50,1.24,2880
51,1.79,300
52,2.19,12800
53,1.05,3490
54,1.29,16090
55,1.04,69460
56,1.08,192080
57,1.54,12510
58,0.75,4830
59,1.30,145720
60,0.38,2150
61,0.62,23450
62,2.40,4140
63,1.03,7590
64,1.02,26960
65,0.91,102260
66,1.11,28100
67,1.37,1520
68,1.06,84670
69,0.62,49770
70,1.71,150
71,1.73,16740
72,2.00,192650
73,0.98,12030
74,1.12,3160
75,1.13,92200
76,1.47,4840
77,0.49,139130
78,0.53,7340
79,1.12,115390
80,0.83,27740
81,1.46,204320
82,1.17,138040
83,2.09,90370
84,1.71,12690
85,1.57,5360
86,1.57,9680
87,1.33,33920
88,1.78,7120
89,0.38,3610
90,1.67,35150
91,1.56,7210
92,1.92,2760
93,1.44,3850
94,1.90,2070
95,1.51,100220
96,1.20,1460
97,1.08,27410
98,0.22,282330
99,0.38,5180
100,1.48,3960
101,1.25,6090
102,1.92,68290
103,0.93,145990
104,0.82,272550
105,1.36,70
106,1.04,23000
107,0.98,2450
108,1.11,4440
109,0.32,4690
110,1.08,1290
111,0.80,7860
112,1.31,200880
113,2.38,21050
114,0.86,8490
115,0.81,2820
116,1.42,136490
117,0.01,11300
118,1.50,1430
119,0.88,306200
120,0.91,3030
121,0.83,19440
122,0.55,58650
123,0.37,13000
124,0,21820
125,0.92,67830
126,1.23,75580
127,1.45,308170
128,0,12600
129,1.50,68270
130,0.86,248070
131,1.95,17550
132,0.52,134790
133,0.59,29530
134,1.40,11930
135,1.05,4170
136,0.48,35510
137,1.05,31430
138,0.62,31440
139,0.61,5800
140,1.44,9270
141,0.69,55550
142,-0.39,4080
143,1.69,102280
144,0,15540
145,0.77,4920
146,1.05,90430
147,1.06,2790
148,0.88,12170
149,1.08,122900
150,1.53,3560
151,1.90,1780
152,2.28,11090
153,1.03,34120
154,0,10580
155,0.60,12750
156,1.38,123700
157,1.68,25530
158,2.19,1380
159,1.89,4060
160,1.20,5610
161,1.84,78520
162,0.08,15260
163,1.22,7460
164,0.41,244920
165,0.76,383220
166,-0.11,7700
167,0.14,36570
168,2.05,8260
169,1.25,85310
170,0.98,6260
171,1.60,680
172,0.79,93050
173,1.17,108670
174,1.03,383800
175,0.68,3550
176,0.80,1120
177,0.83,51900
178,2.21,373220
179,0.71,32640
180,1.75,37560
181,0.29,51910
182,0.99,97520
183,0.76,111770
184,0.47,9970
185,1.39,670
186,1.24,12160
187,0.26,15360
188,0.56,7310
189,0.24,2630
190,0.80,271560
191,0.93,1800
