,Date,Close,Open,High,Low,Volume,Change,year,month
19,2017-01-31,2067.57,2077.66,2079.97,2067.57,288280000.0,-0.0077,2017,1
39,2017-02-28,2091.64,2087.26,2094.41,2084.36,399820000.0,0.0029,2017,2
61,2017-03-31,2160.23,2166.62,2166.93,2159.8,441640000.0,-0.002,2017,3
81,2017-04-28,2205.44,2214.36,2217.04,2202.2,268640000.0,-0.0018,2017,4
100,2017-05-31,2347.38,2339.25,2355.23,2338.25,555940000.0,0.0016,2017,5
121,2017-06-30,2391.79,2382.15,2391.81,2381.4,343530000.0,-0.0016,2017,6
142,2017-07-31,2402.71,2392.02,2403.9,2388.39,277570000.0,0.0007000000000000001,2017,7
164,2017-08-31,2363.19,2373.96,2377.02,2355.29,265050000.0,-0.0038,2017,8
185,2017-09-29,2394.47,2378.66,2394.47,2378.66,184190000.0,0.009000000000000001,2017,9
201,2017-10-31,2523.43,2500.21,2528.32,2498.05,313790000.0,0.0086,2017,10
223,2017-11-30,2476.37,2502.22,2506.32,2474.28,339020000.0,-0.014499999999999999,2017,11
242,2017-12-28,2467.49,2439.31,2467.51,2437.26,220340000.0,0.0126,2017,12
264,2018-01-31,2566.46,2557.37,2597.14,2553.01,403050000.0,-0.0005,2018,1
282,2018-02-28,2427.36,2447.11,2460.12,2426.21,367560000.0,-0.011699999999999999,2018,2
303,2018-03-30,2445.85,2454.1,2458.24,2445.72,395330000.0,0.0039000000000000003,2018,3
324,2018-04-30,2515.38,2502.29,2515.38,2500.22,746290000.0,0.0092,2018,4
344,2018-05-31,2423.01,2428.83,2430.15,2415.5,816930000.0,0.0058,2018,5
363,2018-06-29,2326.13,2325.68,2329.58,2296.39,396660000.0,0.0051,2018,6
385,2018-07-31,2295.26,2292.23,2296.6,2286.02,223930000.0,0.0008,2018,7
407,2018-08-31,2322.88,2298.13,2322.88,2295.72,255910000.0,0.0067,2018,8
424,2018-09-28,2343.07,2356.13,2356.62,2337.47,317870000.0,-0.0052,2018,9
445,2018-10-31,2029.69,2022.84,2030.5,2006.63,373030000.0,0.0074,2018,10
467,2018-11-30,2096.86,2116.83,2122.33,2093.83,427350000.0,-0.008199999999999999,2018,11
486,2018-12-28,2041.04,2036.7,2046.97,2035.41,352680000.0,0.0062,2018,12
508,2019-01-31,2204.85,2222.88,2222.88,2201.22,545250000.0,-0.0006,2019,1
525,2019-02-28,2195.44,2231.58,2233.93,2195.44,510020000.0,-0.0176,2019,2
545,2019-03-29,2140.67,2138.45,2143.3,2124.07,364620000.0,0.0059,2019,3
567,2019-04-30,2203.59,2213.43,2215.77,2186.33,381410000.0,-0.0058,2019,4
588,2019-05-31,2041.74,2029.03,2048.9,2022.97,439180000.0,0.0014000000000000002,2019,5
607,2019-06-28,2130.62,2135.06,2139.24,2123.97,537270000.0,-0.0017000000000000001,2019,6
630,2019-07-31,2024.55,2036.46,2041.16,2010.95,589390000.0,-0.0069,2019,7
651,2019-08-30,1967.79,1951.66,1971.21,1951.3,317730000.0,0.0178,2019,8
670,2019-09-30,2063.05,2045.77,2064.99,2042.01,327620000.0,0.0064,2019,9
691,2019-10-31,2083.48,2089.22,2103.71,2083.48,461320000.0,0.0015,2019,10
712,2019-11-29,2087.96,2125.53,2125.53,2085.1,433260000.0,-0.014499999999999999,2019,11
732,2019-12-30,2197.67,2202.62,2208.04,2195.65,416400000.0,-0.003,2019,12
752,2020-01-31,2119.01,2160.6,2167.23,2119.01,710510000.0,-0.013500000000000002,2020,1
772,2020-02-28,1987.01,2020.17,2031.01,1980.82,671550000.0,-0.033,2020,2
794,2020-03-31,1754.64,1739.29,1757.81,1722.62,1040000000.0,0.0219,2020,3
814,2020-04-29,1947.56,1936.89,1957.51,1934.31,1980000000.0,0.006999999999999999,2020,4
833,2020-05-29,2029.6,2018.37,2038.89,2006.62,1090000000.0,0.0005,2020,5
855,2020-06-30,2108.33,2124.38,2134.38,2108.26,708600000.0,0.0070999999999999995,2020,6
878,2020-07-31,2249.37,2278.53,2281.41,2248.49,739690000.0,-0.0078000000000000005,2020,7
898,2020-08-31,2326.17,2377.09,2381.5,2326.06,1650000000.0,-0.011699999999999999,2020,8
919,2020-09-29,2327.89,2331.51,2339.83,2320.04,646220000.0,0.0086,2020,9
938,2020-10-30,2267.15,2319.56,2320.2,2266.93,795590000.0,-0.0256,2020,10
959,2020-11-30,2591.34,2648.05,2648.66,2591.34,1310000000.0,-0.016,2020,11
980,2020-12-30,2873.47,2820.36,2878.21,2809.35,1070000000.0000001,0.018799999999999997,2020,12
1000,2021-01-29,2976.21,3078.73,3100.22,2962.7,995070000.0,-0.030299999999999997,2021,1
1018,2021-02-26,3012.95,3089.49,3089.49,2988.28,1360000000.0,-0.027999999999999997,2021,2
1040,2021-03-31,3061.42,3073.39,3093.89,3061.4,1150000000.0,-0.0028000000000000004,2021,3
1062,2021-04-30,3147.86,3176.43,3179.43,3143.38,1360000000.0,-0.0083,2021,4
1081,2021-05-31,3203.92,3192.06,3204.29,3179.87,1120000000.0,0.0048,2021,5
