티커,BPS,PER,PBR,EPS,DIV,DPS
095570,8075,3.9,0.82,1707,4.06,270
006840,45961,0.0,0.46,0,0.94,200
027410,16393,8.29,0.35,684,1.94,110
282330,46849,21.29,3.88,8547,1.65,3000
138930,28745,3.37,0.27,2341,7.1,560
001460,577324,12.72,0.79,35764,0.33,1500
001465,0,0.0,0.0,0,0.87,1550
001040,151085,10.61,0.58,8197,2.64,2300
079160,5520,0.0,4.97,0,0.0,0
00104K,0,0.0,0.0,0,3.1,2350
000120,178766,66.54,0.69,1841,0.0,0
011150,1857,70.66,2.32,61,0.0,0
011155,0,0.0,0.0,0,0.0,0
001045,0,0.0,0.0,0,4.47,2350
097950,381542,10.5,1.05,38246,1.25,5000
097955,0,0.0,0.0,0,2.84,5050
000590,226165,5.29,0.3,12789,0.74,500
012030,2292,8.67,0.43,114,0.0,0
016610,22133,2.3,0.29,2831,7.68,500
005830,110605,4.56,0.6,14482,5.3,3500
000990,25449,9.17,2.63,7292,0.67,450
000995,0,0.0,0.0,0,0.5,500
139130,32507,3.07,0.27,2886,7.12,630
001530,29290,10.79,0.82,2234,0.83,200
000210,173922,1.49,0.36,41881,3.05,1900
001880,41105,3.45,0.66,7911,2.75,750
000215,0,0.0,0.0,0,4.86,1950
375500,194338,2.22,0.31,26903,4.53,2700
37550L,0,0.0,0.0,0,0.0,0
37550K,0,0.0,0.0,0,7.51,2750
004840,18916,0.0,0.29,0,0.56,30
155660,10991,8.85,0.62,768,0.74,50
069730,10683,12.29,0.61,529,0.62,40
017940,226210,2.21,0.22,22789,4.37,2200
383220,14307,23.35,9.89,6061,0.78,1100
007700,49495,0.3,0.53,88031,0.65,170
114090,6201,0.0,2.48,0,0.0,0
078930,108672,2.91,0.41,15304,4.49,2000
006360,54487,8.75,0.78,4834,3.07,1300
001250,4013,16.24,1.15,283,0.0,0
007070,39822,3.27,0.75,9096,4.04,1200
078935,0,0.0,0.0,0,5.63,2050
012630,43552,3.5,0.17,2069,3.45,250
039570,11102,16.83,0.9,593,4.51,450
089470,10379,13.19,0.45,356,2.98,140
294870,43665,5.64,0.35,2679,3.97,600
267250,89404,0.0,0.65,0,9.55,5550
097230,5189,0.0,1.53,0,0.0,0
003580,2559,0.0,3.01,0,0.0,0
011200,21179,2.14,1.37,13506,2.07,600
082740,4476,0.0,2.39,0,0.0,0
003560,800,0.0,1.4,0,0.0,0
175330,21392,3.53,0.41,2510,6.76,599
234080,8492,18.09,1.77,829,3.33,500
001060,8650,0.0,3.53,0,1.06,325
001067,0,0.0,0.0,0,0.47,325
001065,0,0.0,0.0,0,0.91,350
096760,1356,0.0,3.24,0,2.05,90
105560,121808,5.24,0.48,11134,5.04,2940
002380,657509,0.0,0.53,0,2.0,7000
344820,87084,8.46,0.71,7353,3.86,2400
009070,7431,9.21,0.84,681,0.96,60
009440,7257,34.92,0.59,122,1.64,70
119650,2787,7.19,1.96,761,0.0,0
092220,1884,40.25,1.71,80,0.0,0
016380,11498,12.37,2.05,1908,0.42,100
016385,0,0.0,0.0,0,0.05,150
001390,34343,7.1,1.19,5749,1.23,500
033180,3088,0.0,0.74,0,0.0,0
001940,68463,2.28,0.27,8106,2.16,400
