,날짜,시가,고가,저가,종가,거래량,회사코드,year,month,BPS,PER,PBR,EPS,DIV,DPS
0,2017-01-31,39900,39900,39460,39460,359844,005930,2017,1,43611,11.65,1.54,5777,2.15,1444
1,2017-02-28,38059,38760,37960,38440,301774,005930,2017,2,43611,11.65,1.54,5777,2.15,1444
2,2017-03-31,41820,42020,41200,41200,210006,005930,2017,3,43611,11.65,1.54,5777,2.15,1444
3,2017-04-28,45780,45800,44520,44620,453714,005930,2017,4,43611,11.65,1.54,5777,2.15,1444
4,2017-05-31,44580,45020,44400,44700,373382,005930,2017,5,43611,11.65,1.54,5777,2.15,1444
5,2017-06-30,47500,47620,47100,47540,237551,005930,2017,6,43611,11.65,1.54,5777,2.15,1444
6,2017-07-31,47420,48240,46920,48200,254028,005930,2017,7,43611,11.65,1.54,5777,2.15,1444
7,2017-08-31,46220,46640,46000,46320,220234,005930,2017,8,43611,11.65,1.54,5777,2.15,1444
8,2017-09-29,51180,51620,50840,51280,258188,005930,2017,9,43611,11.65,1.54,5777,2.15,1444
9,2017-10-31,54060,55440,53500,55080,267631,005930,2017,10,43611,11.65,1.54,5777,2.15,1444
10,2017-11-30,50800,51860,50200,50800,592683,005930,2017,11,43611,11.65,1.54,5777,2.15,1444
11,2017-12-28,49560,50960,49500,50960,179709,005930,2017,12,43611,11.65,1.54,5777,2.15,1444
12,2018-01-31,50020,54140,49600,49900,1293626,005930,2018,1,43611,11.65,1.54,5777,2.15,1444
13,2018-02-28,47380,48100,47000,47060,303247,005930,2018,2,43611,11.65,1.54,5777,2.15,1444
14,2018-03-30,49080,49900,49080,49220,155542,005930,2018,3,43611,11.65,1.54,5777,2.15,1444
15,2018-04-30,0,0,0,53000,0,005930,2018,4,43611,11.65,1.54,5777,2.15,1444
16,2018-05-31,50400,50800,49850,50700,63491109,005930,2018,5,43611,11.65,1.54,5777,2.15,1444
17,2018-06-29,46250,47150,46200,46650,14099635,005930,2018,6,43611,11.65,1.54,5777,2.15,1444
18,2018-07-31,46200,46450,46000,46250,8033607,005930,2018,7,43611,11.65,1.54,5777,2.15,1444
19,2018-08-31,47100,48450,47000,48450,13577454,005930,2018,8,43611,11.65,1.54,5777,2.15,1444
20,2018-09-28,47250,47250,46300,46450,11270515,005930,2018,9,43611,11.65,1.54,5777,2.15,1444
21,2018-10-31,42900,43350,41700,42400,17621480,005930,2018,10,43611,11.65,1.54,5777,2.15,1444
22,2018-11-30,43450,44000,41750,41850,19775519,005930,2018,11,43611,11.65,1.54,5777,2.15,1444
23,2018-12-28,38250,38900,38200,38700,9900267,005930,2018,12,43611,11.65,1.54,5777,2.15,1444
24,2019-01-31,46650,47050,46150,46150,21621145,005930,2019,1,43611,11.65,1.54,5777,2.15,1444
25,2019-02-28,46400,46500,45100,45100,23569321,005930,2019,2,43611,11.65,1.54,5777,2.15,1444
