,Date
0,2010-04-30
1,2010-05-31
2,2010-06-30
3,2010-07-30
4,2010-08-31
5,2010-09-30
6,2010-10-29
7,2010-11-30
8,2010-12-30
9,2011-01-31
10,2011-02-28
11,2011-03-31
12,2011-04-29
13,2011-05-31
14,2011-06-30
15,2011-07-29
16,2011-08-31
17,2011-09-30
18,2011-10-31
19,2011-11-30
20,2011-12-29
21,2012-01-31
22,2012-02-29
23,2012-03-30
24,2012-04-30
25,2012-05-31
26,2012-06-29
27,2012-07-31
28,2012-08-31
29,2012-09-28
30,2012-10-31
31,2012-11-30
32,2012-12-28
33,2013-01-31
34,2013-02-28
35,2013-03-29
36,2013-04-30
37,2013-05-31
38,2013-06-28
39,2013-07-31
40,2013-08-30
41,2013-09-30
42,2013-10-31
43,2013-11-29
44,2013-12-31
45,2014-01-29
46,2014-02-28
47,2014-03-31
48,2014-04-30
49,2014-05-30
50,2014-06-30
51,2014-07-31
52,2014-08-29
53,2014-09-30
54,2014-10-31
55,2014-11-28
56,2014-12-30
57,2015-01-30
58,2015-02-27
59,2015-03-31
60,2015-04-30
61,2015-05-29
62,2015-06-30
63,2015-07-31
64,2015-08-31
65,2015-09-30
66,2015-10-30
67,2015-11-30
68,2015-12-30
69,2016-01-29
70,2016-02-29
71,2016-03-31
72,2016-04-29
73,2016-05-31
74,2016-06-30
75,2016-07-29
76,2016-08-31
77,2016-09-30
78,2016-10-31
79,2016-11-30
80,2016-12-29
81,2017-01-31
82,2017-02-28
83,2017-03-31
84,2017-04-28
85,2017-05-31
86,2017-06-30
87,2017-07-31
88,2017-08-31
89,2017-09-29
90,2017-10-31
91,2017-11-30
92,2017-12-28
93,2018-01-31
94,2018-02-28
95,2018-03-30
96,2018-04-30
97,2018-05-31
98,2018-06-29
99,2018-07-31
100,2018-08-31
101,2018-09-28
102,2018-10-31
103,2018-11-30
104,2018-12-28
105,2019-01-31
106,2019-02-28
107,2019-03-29
108,2019-04-30
109,2019-05-31
110,2019-06-28
111,2019-07-31
112,2019-08-30
113,2019-09-30
114,2019-10-31
115,2019-11-29
116,2019-12-30
117,2020-01-31
118,2020-02-28
119,2020-03-31
120,2020-04-29
121,2020-05-29
122,2020-06-30
123,2020-07-31
124,2020-08-31
125,2020-09-29
126,2020-10-30
127,2020-11-30
128,2020-12-30
129,2021-01-29
130,2021-02-26
131,2021-03-31
132,2021-04-30
