,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액
19,2017-01-31,39900,39900,39460,39460,359844,5930,277560331901000
39,2017-02-28,38059,38760,37960,38440,301774,5930,270385685714000
61,2017-03-31,41820,42020,41200,41200,210006,5930,289799434220000
81,2017-04-28,45780,45800,44520,44620,453714,5930,311579980847000
100,2017-05-31,44580,45020,44400,44700,373382,5930,292044084090000
121,2017-06-30,47500,47620,47100,47540,237551,5930,310599010238000
142,2017-07-31,47420,48240,46920,48200,254028,5930,314911070540000
164,2017-08-31,46220,46640,46000,46320,220234,5930,300543832104000
185,2017-09-29,51180,51620,50840,51280,258188,5930,332726418616000
201,2017-10-31,54060,55440,53500,55080,267631,5930,357382432476000
223,2017-11-30,50800,51860,50200,50800,592683,5930,327910174760000
242,2017-12-28,49560,50960,49500,50960,179709,5930,328942962712000
264,2018-01-31,50020,54140,49600,49900,1293626,5930,322100742530000
282,2018-02-28,47380,48100,47000,47060,303247,5930,302093420382000
303,2018-03-30,49080,49900,49080,49220,155542,5930,315959161734000
324,2018-04-30,0,0,0,53000,0,5930,340224209100000
344,2018-05-31,50400,50800,49850,50700,63491109,5930,325459762290000
363,2018-06-29,46250,47150,46200,46650,14099635,5930,299461497255000
385,2018-07-31,46200,46450,46000,46250,8033607,5930,296893767375000
407,2018-08-31,47100,48450,47000,48450,13577454,5930,311016281715000
424,2018-09-28,47250,47250,46300,46450,11270515,5930,298177632315000
445,2018-10-31,42900,43350,41700,42400,17621480,5930,272179367280000
467,2018-11-30,43450,44000,41750,41850,19775519,5930,268648738695000
486,2018-12-28,38250,38900,38200,38700,9900267,5930,231030584685000
508,2019-01-31,46650,47050,46150,46150,21621145,5930,275505464682500
525,2019-02-28,46400,46500,45100,45100,23569321,5930,269237193005000
545,2019-03-29,44500,44900,44200,44650,11491713,5930,266550790857500
567,2019-04-30,46000,46300,45350,45850,11121273,5930,273714529917500
588,2019-05-31,42600,42800,42150,42500,11365999,5930,253715758375000
607,2019-06-28,47000,47000,46700,47000,12949231,5930,280579779850000
630,2019-07-31,46200,46600,45000,45350,12872916,5930,270729638642500
651,2019-08-30,43750,44300,43750,44000,9899073,5930,262670432200000
670,2019-09-30,48050,49250,47900,49050,9497119,5930,292817834077500
691,2019-10-31,51000,51400,50300,50400,10304777,5930,300877040520000
712,2019-11-29,51200,51400,50200,50300,11179334,5930,300280062265000
732,2019-12-30,56200,56600,55700,55800,8356767,5930,333113866290000
752,2020-01-31,57800,58400,56400,56400,19749457,5930,336695735820000
772,2020-02-28,55000,55500,54200,54200,30054227,5930,323562214210000
794,2020-03-31,48000,48500,47150,47750,30654261,5930,285057116762500
814,2020-04-29,49900,50500,49600,50000,15604533,5930,298489127500000
833,2020-05-29,50000,50700,49700,50700,27596961,5930,302667975285000
855,2020-06-30,53900,53900,52800,52800,21157172,5930,315204518640000
878,2020-07-31,59500,59600,57700,57900,21943345,5930,345650409645000
898,2020-08-31,56000,56100,54000,54000,32671367,5930,322368257700000
919,2020-09-29,58300,59000,58200,58200,15503563,5930,347441344410000
938,2020-10-30,58000,58000,56600,56600,26907844,5930,337889692330000
959,2020-11-30,68400,68600,66700,66700,43811016,5930,398184496085000
980,2020-12-30,77400,81300,77300,81000,29417421,5930,483552386550000
1000,2021-01-29,84500,85000,82000,82000,39615978,5930,489522169100000
1018,2021-02-26,82800,83400,82000,82500,38520800,5930,492507060375000
1040,2021-03-31,82400,82700,81400,81400,17240518,5930,485940299570000
1062,2021-04-30,81900,82100,81500,81500,18673197,5930,486537277825000
1081,2021-05-31,80300,80600,79600,80500,13321324,5930,480567495275000
1103,2021-06-30,81100,81400,80700,80700,13288643,5930,481761451785000
1125,2021-07-30,78900,78900,78500,78500,13823411,5930,468627930175000
1146,2021-08-31,74900,76700,74300,76700,24630370,5930,457882321585000
1165,2021-09-30,74300,74800,73700,74100,19919361,5930,442360886955000
1184,2021-10-29,71200,71600,69700,69800,17016151,5930,416690821990000
1206,2021-11-30,73200,73900,70500,71300,30364841,5930,425645495815000
1228,2021-12-30,78900,79500,78100,78300,14236700,5930,467433973665000
1248,2022-01-28,71300,73700,71200,73300,21367447,5930,437585060915000
1266,2022-02-28,71100,72100,71000,72100,17781783,5930,430421321855000
1287,2022-03-31,69900,70200,69600,69600,12510366,5930,415496865480000
1308,2022-04-29,65100,67600,65000,67400,26190390,5930,402363343870000
1414,2017-01-31,53300,54500,52700,53700,4118790,660,39093727000500
1434,2017-02-28,46600,47600,46200,46700,5588155,660,33997710445500
1456,2017-03-31,50800,50800,49900,50500,2682196,660,36764119432500
1476,2017-04-28,53600,54700,53400,54000,3573387,660,39312127710000
1495,2017-05-31,57400,57900,56500,57000,3314659,660,41496134805000
1516,2017-06-30,67400,67800,67000,67400,3230282,660,49067359401000
1537,2017-07-31,63700,66000,63700,66000,4769724,660,48048156090000
1559,2017-08-31,68900,69300,68200,68600,2054717,660,49940962239000
1580,2017-09-29,83300,84300,82200,82900,3579139,660,60351396058500
1596,2017-10-31,80000,82700,79200,82200,6620890,660,59841794403000
1618,2017-11-30,77000,79600,76800,76800,11213748,660,55910581632000
1637,2017-12-28,75400,76700,75200,76500,2825939,660,55692180922500
1659,2018-01-31,72200,74500,72200,73500,5800892,660,53508173827500
1677,2018-02-28,78600,79200,76600,76800,3102987,660,55910581632000
1698,2018-03-30,81200,83300,81100,81300,3681673,660,59186592274500
1719,2018-04-30,85400,85700,84000,84500,4653153,660,61516199842500
1739,2018-05-31,94500,94700,92800,93400,5996671,660,67995420891000
1758,2018-06-29,83500,85700,83400,85700,3003603,660,62389802680500
1780,2018-07-31,85200,86300,84500,86300,2804543,660,62826604099500
1802,2018-08-31,81800,83000,81800,83000,2303812,660,60424196295000
1819,2018-09-28,75300,75900,73100,73100,5824873,660,53216972881500
1840,2018-10-31,69300,70400,67600,68200,5038931,660,49649761293000
1862,2018-11-30,71500,71600,68800,69600,4167055,660,50668964604000
1881,2018-12-28,61700,62300,60500,60500,1647462,660,44044143082500
1903,2019-01-31,76900,77100,73700,73900,4447535,660,53799374773500
1920,2019-02-28,72500,72600,69900,70000,7869451,660,50960165550000
1940,2019-03-29,72900,74900,72700,74200,3214170,660,54017775483000
1962,2019-04-30,79400,80700,78100,79000,2960242,660,57512186835000
1983,2019-05-31,65900,66900,64700,65300,3191350,660,47538554434500
2002,2019-06-28,70900,70900,68400,69500,3117569,660,50596164367500
2025,2019-07-31,78000,79100,75300,76900,3712241,660,55983381868500
2046,2019-08-30,74600,78000,74600,77400,3839246,660,56347383051000
2065,2019-09-30,80600,82900,80400,82200,2442478,660,59841794403000
2086,2019-10-31,81900,83400,81600,82000,1978755,660,59696193930000
2107,2019-11-29,82500,82800,80700,80900,2139440,660,58895391328500
2127,2019-12-30,95600,96300,94100,94100,1862634,660,68505022546500
2147,2020-01-31,94500,97500,93500,93500,4597139,660,68068221127500
2167,2020-02-28,91000,92200,87700,87900,8171939,660,63991407883500
2189,2020-03-31,84000,85500,82000,83300,5333479,660,60642597004500
2209,2020-04-29,83500,84800,82900,83700,3750568,660,60933797950500
2228,2020-05-29,82600,82700,81300,81500,6815185,660,59332192747500
2250,2020-06-30,86200,87300,85000,85100,4983607,660,61953001261500
2273,2020-07-31,85700,86000,82800,82800,4848989,660,60278595822000
2293,2020-08-31,78200,78800,75100,75100,5113128,660,54672977611500
2314,2020-09-29,83100,84900,82200,84000,4707898,660,61152198660000
2333,2020-10-30,81600,82100,79900,79900,2710477,660,58167388963500
2354,2020-11-30,99700,99800,97300,97500,3877841,660,70980230587500
2375,2020-12-30,116000,118500,114500,118500,4195192,660,86268280252500
2395,2021-01-29,128500,128500,121500,122500,7391307,660,89180289712500
2413,2021-02-26,143500,145000,138000,141500,10843268,660,103012334647500
2435,2021-03-31,134500,135000,132000,132500,3309680,660,96460313362500
2457,2021-04-30,130000,130500,126500,128000,3955947,660,93184302720000
2476,2021-05-31,126000,127000,124000,127000,2448074,660,92456300355000
2498,2021-06-30,126500,129500,126000,127500,4346027,660,92820301537500
2520,2021-07-30,114000,114000,112500,112500,2888566,660,81900266062500
2541,2021-08-31,103500,106500,102000,106500,4979276,660,77532251872500
2560,2021-09-30,99900,103500,99600,103000,3910557,660,74984243595000
2579,2021-10-29,107000,108500,103000,103000,4007223,660,74984243595000
2601,2021-11-30,118000,119000,112500,114000,7449608,660,82992269610000
2623,2021-12-30,131000,133500,130000,131000,5172987,660,95368309815000
2643,2022-01-28,115000,121500,114500,120500,4776510,660,87724284982500
2661,2022-02-28,123000,123500,121000,123500,3224264,660,89908292077500
2682,2022-03-31,119500,120000,117500,118000,4558063,660,85904279070000
2703,2022-04-29,110000,112500,109500,112500,3752415,660,81900266062500
2735,2017-01-31,160104,162080,158621,159116,231699,207940,10652565000000
2755,2017-02-28,165045,166033,160598,162575,153293,207940,10884142500000
2777,2017-03-31,172457,173446,168998,170975,392516,207940,11446545000000
2797,2017-04-28,179375,179869,171469,172952,373080,207940,11578875000000
2816,2017-05-31,210507,217425,208530,217425,635607,207940,14556300000000
2837,2017-06-30,292041,304889,283146,288583,866059,207940,19320180000000
2858,2017-07-31,262392,274252,258933,268817,169641,207940,17996880000000
2880,2017-08-31,281170,281664,279193,279688,106292,207940,18724695000000
2901,2017-09-29,327620,336020,327126,333550,169593,207940,22330687500000
2917,2017-10-31,369622,379505,367646,379506,189711,207940,25407360000000
2939,2017-11-30,360234,362210,336020,338492,799916,207940,22661512500000
2958,2017-12-28,365175,369128,362704,366658,183154,207940,24547215000000
2980,2018-01-31,422990,439297,422990,433368,245714,207940,29013352500000
2998,2018-02-28,443745,456098,442756,444733,187781,207940,29774250000000
3019,2018-03-30,484265,486241,470923,481300,145352,207940,32222355000000
3040,2018-04-30,495136,502054,479323,482289,238234,207940,32288520000000
3060,2018-05-31,421014,438803,420520,429909,343644,207940,28781775000000
3079,2018-06-29,423485,423485,407178,412120,197788,207940,27590805000000
3101,2018-07-31,367152,370611,365175,368635,119585,207940,24679545000000
3123,2018-08-31,447698,464005,447204,457581,324640,207940,30634395000000
3140,2018-09-28,542574,543563,519843,527750,223352,207940,35332110000000
3161,2018-10-31,397789,403719,372587,382965,346959,207940,25638937500000
3183,2018-11-30,0,0,0,330585,0,207940,22132192500000
3202,2018-12-28,372587,391365,372587,381977,259166,207940,25572772500000
3224,2019-01-31,387906,395318,387412,394330,163244,207940,26399835000000
3241,2019-02-28,370117,372093,367646,371599,187401,207940,24878040000000
3261,2019-03-29,316254,320702,313289,315761,144735,207940,21139717500000
3283,2019-04-30,337009,341456,335032,336021,109964,207940,22496100000000
3304,2019-05-31,280676,296488,278205,296489,146912,207940,19849500000000
3323,2019-06-28,313289,318231,311807,316255,59945,207940,21172800000000
3346,2019-07-31,275240,276723,266840,276723,107540,207940,18526200000000
3367,2019-08-30,271287,277711,263875,265852,319176,207940,17798385000000
3386,2019-09-30,305877,309336,297477,303901,87629,207940,20345737500000
3407,2019-10-31,395318,398283,392353,393836,112287,207940,26366752500000
3428,2019-11-29,396801,397789,388400,388895,74944,207940,26035927500000
3448,2019-12-30,424967,436827,423485,427932,138469,207940,28649445000000
3468,2020-01-31,489206,493654,478829,478830,133760,207940,32056942500000
3488,2020-02-28,467464,469440,450169,458075,234605,207940,30667477500000
