,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
0,2022-04-29,65100,67600,65000,67400,26190390,005930,402363343870000,1.039374920677631,1.0068980632724713,005930,43611,11.65,1.54,5777,2.15,1444
1,2022-04-29,110000,112500,109500,112500,3752415,000660,81900266062500,0.8582728886952152,1.0123079465478249,000660,90394,7.9,1.22,13989,1.39,1540
2,2022-04-29,827000,839000,827000,838000,64323,207940,59643812000000,1.2275677813837444,1.0266489654105417,207940,74551,142.54,11.24,5879,0.0,0
3,2022-04-29,282500,287500,281500,286500,540274,035420,47000062852500,0.9441806057948582,1.009732841947241,035420,157641,2.53,1.78,110854,0.18,511
4,2022-04-29,604000,628000,600000,611000,402673,006400,42015127830000,0.9199177914179858,1.0251694172296753,006400,219885,34.93,2.78,17492,0.16,1000
5,2022-04-29,89300,90400,88700,89900,1110597,035720,40119709499400,1.2862252525500821,1.0270315320738883,035720,23018,27.1,3.79,3221,0.06,53
6,2022-04-29,187000,188000,184000,186000,767005,005380,39742282782000,1.202404250747177,1.0042746666697033,005380,289609,9.85,0.65,18979,2.67,5000
7,2022-04-29,506000,527000,502000,519000,479495,051910,36637426017000,0.9495783068099188,1.0107031360531542,051910,278455,11.17,1.89,47108,2.28,12000
8,2022-04-29,83500,83900,82700,83800,1207682,000270,33969448478600,1.2794285510881718,1.0147304369259749,000270,87073,7.11,0.97,11874,3.55,3000
9,2022-04-29,286500,290500,285500,289000,178473,005490,25196995315000,1.0592055959695967,1.0012892824405324,005490,666803,3.36,0.44,87330,5.8,17000
10,2022-04-29,175000,178000,173000,176000,353925,068270,24761089760000,1.0244086651304365,1.0130273012971018,068270,28307,41.85,6.11,4134,0.43,750
11,2022-04-29,58900,59000,58100,58500,871015,105560,24122620899000,0.622652609663919,1.0025867690309505,105560,121808,5.24,0.48,11134,5.04,2940
12,2022-04-29,41700,42400,41650,42150,1069064,055550,21774671201100,0.569046606922659,0.9979928985183572,055550,88548,5.71,0.47,7308,4.7,1960
13,2022-04-29,114500,116000,114000,115500,300868,028260,21585457855500,1.1355906069289219,0.998884445592191,028260,184352,11.9,0.64,9913,3.56,4200
14,2022-04-29,267500,269500,265500,268000,123866,034730,20166919106950,1.0493787033931328,1.0016678104202301,034730,375047,7.19,0.72,37408,2.97,8000
