,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,BPS,PER,PBR,EPS,DIV,DPS,기대수익률,Name,Symbol,분류기준
0,2022-04-29,187000,188000,184000,186000,767005,5380,39742282782000,1.202404250747177,1.0042746666697033,289609,9.85,0.65,18979,2.67,5000,0.423506887268421,현대차,5380,대형가치주
1,2022-04-29,56800,57300,56700,57000,640368,17670,13020672034800,0.670489105430302,1.0053753325700314,53218,7.93,1.07,7191,11.68,6660,0.376312371541013,SK텔레콤,17670,대형가치주
2,2022-04-29,72600,73400,72500,73300,252247,3550,14003834694000,0.9438341444692153,1.002300693893569,132574,4.76,0.56,15504,3.79,2800,0.178380516378383,LG,3550,대형가치주
3,2022-04-29,33400,33500,33150,33450,83152,29780,3934255035200,0.4026182681456985,0.9970655715876018,70408,6.47,0.47,5164,6.89,2300,-0.04866910216886983,삼성카드,29780,대형가치주
4,2022-04-29,121000,123500,121000,123000,27947,120,2794125567500,0.3779137083731532,0.9949658647120125,178766,66.54,0.69,1841,0.0,0,-0.11582961518817994,CJ대한통운,120,대형가치주
5,2022-04-29,110000,112500,109500,112500,3752415,660,81900266062500,0.8582728886952152,1.0123079465478249,90394,7.9,1.22,13989,1.39,1540,1.034703106011751,SK하이닉스,660,대형성장주
6,2022-04-29,282500,287500,281500,286500,540274,35420,47000062852500,0.9441806057948582,1.009732841947241,157641,2.53,1.78,110854,0.18,511,0.8801199394262004,NAVER,35420,대형성장주
7,2022-04-29,604000,628000,600000,611000,402673,6400,42015127830000,0.9199177914179858,1.0251694172296753,219885,34.93,2.78,17492,0.16,1000,2.281395912636468,삼성SDI,6400,대형성장주
8,2022-04-29,83500,83900,82700,83800,1207682,270,33969448478600,1.2794285510881718,1.0147304369259749,87073,7.11,0.97,11874,3.55,3000,1.7787684470919383,기아,270,대형성장주
9,2022-04-29,153000,154000,150500,151500,150808,11790,5733605400000,1.4240147140608603,1.0281460233747917,55782,24.78,2.74,6174,0.72,1100,3.8732321999882515,SKC,11790,대형성장주
10,2022-04-29,60600,61200,60400,61100,150707,100,3560232949920,1.018902603327909,1.0082587792735203,28297,40.71,2.15,1496,0.66,400,0.7877086495444549,유한양행,100,대형성장주
11,2022-04-29,38600,39750,37450,37850,232972,138040,4060402018600,0.3338363158087573,1.0183671213298364,29591,6.41,1.29,5932,0.55,210,0.696393948514752,메리츠금융지주,138040,대형성장주
12,2022-04-29,87200,88700,86700,88000,199232,20150,4960291477900,0.9332827333160657,1.028486755969878,21440,65.17,4.14,1361,0.34,300,2.62196320082434,일진머티리얼즈,20150,대형성장주
13,2022-04-29,67900,69700,67500,67700,750426,990,3005784407600,1.434169403012391,1.0196202142503854,25449,9.17,2.63,7292,0.67,450,2.677037215242566,DB하이텍,990,대형성장주
14,2022-04-29,74500,75700,73500,73600,186063,52690,2812992000000,1.000768693560535,1.0180238544544975,13496,170.14,5.45,432,0.32,238,1.7536171888231624,한전기술,52690,대형성장주
15,2022-04-29,37300,37700,37100,37300,188871,80,2698579000000,0.5572536072604629,1.0097008203141136,15657,36.32,2.39,1031,2.14,800,0.5791309898904436,하이트진로,80,대형성장주
16,2022-04-29,19000,19200,18850,19100,628519,93370,2553478200000,0.597213125006825,1.0162991913466715,2679,78.07,7.11,244,0.08,15,1.0039664749216213,후성,93370,중소형성장주
17,2022-04-29,71600,72200,69500,71000,238860,195870,477255864250,0.8156304087227774,1.0223037230210634,17313,16.79,4.07,4192,0.85,600,1.8060333906264023,해성디에스,195870,중소형성장주
18,2022-04-29,59000,60100,58600,59700,34740,16710,1068942000000,0.4874512633556388,1.0319423341241216,29257,56.63,2.01,1040,0.42,250,1.6095428596619736,대성홀딩스,16710,중소형성장주
19,2022-04-29,183500,185500,183500,185000,2323,17390,938540624000,0.3803275823563448,1.0141337204188714,266539,86.49,0.69,2139,0.95,1750,0.6114788551897175,서울가스,17390,중소형성장주
20,2022-04-29,50500,51200,50000,50200,31192,34120,909548583000,1.365843027538904,1.0116194403019225,37150,6.56,1.36,7693,1.98,1000,1.4638645465207607,SBS,34120,중소형성장주
21,2022-04-29,171000,172500,170000,171500,930,2840,521850000000,0.4622228912881468,1.0276407344445837,59795,14.56,2.83,11641,3.54,6000,1.3351734409727052,미원상사,2840,중소형성장주
