,종목명,종목코드,opt1,opt2,opt3
0,한미반도체,042700,25.79,12.78,2.66
1,NHN,181710,0.0,10.22,1.22
2,이노션,214320,0.0,9.2,9.19
3,한화투자증권,003530,0.0,8.05,8.05
4,DI동일,001530,31.33,5.7,5.82
5,NICE,034310,0.0,5.6,5.6
6,DL건설,001880,0.0,4.86,4.85
7,코오롱글로벌,003070,5.74,4.49,3.22
8,국도화학,007690,0.0,4.3,4.3
9,서흥,008490,0.0,3.84,9.7
10,대한제당,001790,14.38,3.97,3.98
11,퍼시스,016800,0.0,3.55,3.54
12,태영건설,009410,0.0,3.07,3.08
13,조선내화,000480,0.0,2.94,2.95
14,조광피혁,004700,0.0,2.78,2.78
15,KISCO홀딩스,001940,0.0,2.55,8.01
16,SNT홀딩스,036530,0.0,2.53,2.51
17,삼영무역,002810,0.0,2.24,2.24
18,예스코홀딩스,015360,0.0,1.98,1.96
19,한양증권,001750,14.84,1.47,1.5
20,SNT에너지,100840,0.0,1.29,1.32
21,인천도시가스,034590,0.0,1.03,0.97
22,깨끗한나라,004540,0.0,0.88,0.87
23,대동전자,008110,7.93,0.71,0.7
