,종목명,종목코드,opt1,opt2,opt3
0,후성,093370,0.0,15.72,12.5
1,해성디에스,195870,5.92,9.55,9.56
2,대성홀딩스,016710,39.85,8.03,8.01
3,서울가스,017390,9.48,7.87,7.87
4,SBS,034120,0.0,7.81,7.82
5,미원상사,002840,15.37,6.9,6.91
6,한국카본,017960,0.0,4.69,4.9
7,신영증권,001720,0.0,4.38,4.37
8,SIMPAC,009160,0.0,4.36,6.28
9,KEC,092220,0.54,3.88,3.88
10,대성에너지,117580,3.03,3.25,3.25
11,세진중공업,075580,1.13,3.09,3.09
12,조일알미늄,018470,0.0,2.62,2.63
13,디씨엠,024090,4.65,2.67,2.66
14,화성산업,002460,0.0,2.43,2.43
15,TCC스틸,002710,5.01,2.28,3.38
16,한농화성,011500,0.0,2.03,2.03
17,동남합성,023450,12.73,1.75,1.75
18,신흥,004080,1.74,1.33,1.33
19,신송홀딩스,006880,0.56,1.11,1.1
20,한솔로지스틱스,009180,0.0,0.93,0.93
21,삼영화학,003720,0.0,0.9,0.89
22,진양산업,003780,0.0,0.87,0.88
23,덕양산업,024900,0.0,0.88,0.89
24,한국전자홀딩스,006200,0.0,0.67,0.67
